"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2017","3,742.50","3,717.70","3,750.00","3,717.70","","0.67%"
"05/04/2017","3,717.70","3,743.65","3,755.00","3,716.70","","-0.69%"
"05/03/2017","3,743.65","3,729.10","3,755.00","3,726.80","","0.39%"
"05/02/2017","3,729.10","3,717.50","3,750.00","3,715.10","","0.31%"
"05/01/2017","3,717.50","3,719.40","3,755.00","3.00","","-0.05%"
"04/30/2017","3,719.40","3,719.40","3,719.40","3,719.40","","-0.28%"
"04/28/2017","3,730.00","3,715.60","3,730.00","3,707.90","","0.39%"
"04/27/2017","3,715.60","3,700.60","3,726.00","3,699.55","","0.41%"
"04/26/2017","3,700.60","3,726.00","3,730.00","3,690.60","","-0.68%"
"04/25/2017","3,726.00","3,703.00","3,726.00","3,690.95","","0.62%"
"04/24/2017","3,703.00","3,671.40","3,725.00","3,621.80","","0.86%"
"04/23/2017","3,671.40","3,671.40","3,671.40","3,671.40","","-0.77%"
"04/21/2017","3,700.00","3,691.15","3,700.00","3,679.10","","0.24%"
"04/20/2017","3,691.15","3,695.00","3,700.00","3,679.40","","-0.10%"
"04/19/2017","3,695.00","3,656.10","3,700.00","3,656.10","","1.06%"
"04/18/2017","3,656.10","3,646.40","3,700.00","3,644.90","","0.27%"
"04/17/2017","3,646.40","3,657.95","3,696.00","3,646.40","","-0.32%"
"04/16/2017","3,657.95","3,657.95","3,657.95","3,657.95","","-0.19%"
"04/14/2017","3,665.00","3,667.50","3,667.50","3,656.90","","-0.07%"
"04/13/2017","3,667.50","3,670.00","3,670.00","3,626.60","","-0.07%"
"04/12/2017","3,670.00","3,570.00","3,675.00","3,570.00","","2.80%"
"04/11/2017","3,570.00","3,680.00","3,680.00","3,567.50","","-2.99%"
"04/10/2017","3,680.00","3,630.45","3,680.00","3,630.45","","1.36%"
"04/09/2017","3,630.45","3,630.45","3,630.45","3,630.45","","-0.34%"
"04/07/2017","3,643.00","3,626.55","3,643.00","3,618.15","","0.45%"
"04/06/2017","3,626.55","3,620.50","3,638.00","3,618.65","","0.17%"
"04/05/2017","3,620.50","3,611.50","3,645.00","363.00","","0.25%"
"04/04/2017","3,611.50","3,618.20","3,621.80","3,611.50","","-0.19%"
"04/03/2017","3,618.20","3,601.85","3,633.00","3,595.30","","0.45%"
"04/02/2017","3,601.85","3,601.85","3,601.85","3,601.85","","-0.43%"
"03/31/2017","3,617.50","3,646.65","3,646.65","3,592.80","","-0.80%"
"03/30/2017","3,646.65","3,625.00","3,646.65","35.95","","0.60%"
"03/29/2017","3,625.00","3,625.50","3,627.50","3,539.80","","-0.01%"
"03/28/2017","3,625.50","3,625.00","3,625.50","3,550.85","","0.01%"
"03/27/2017","3,625.00","3,554.30","3,625.00","3,531.40","","1.99%"
"03/26/2017","3,554.30","3,554.30","3,554.30","3,554.30","","-0.37%"
"03/24/2017","3,567.50","3,490.75","3,570.00","3,490.75","","2.20%"
"03/23/2017","3,490.75","3,487.90","3,570.00","3,487.90","","0.08%"
"03/22/2017","3,487.90","3,496.10","3,560.00","3,487.90","","-0.23%"
"03/21/2017","3,496.10","3,501.20","3,530.00","3,493.65","","-0.15%"
"03/20/2017","3,501.20","3,498.90","3,527.50","3,487.10","","0.07%"
"03/19/2017","3,498.90","3,498.90","3,498.90","3,498.90","","-0.81%"
"03/17/2017","3,527.50","3,482.85","3,527.50","3,482.85","","1.28%"
"03/16/2017","3,482.85","3,520.00","3,526.00","3,466.30","","-1.06%"
"03/15/2017","3,520.00","3,510.30","3,528.00","3,501.25","","0.28%"
"03/14/2017","3,510.30","3,530.00","3,530.00","3,456.25","","-0.56%"
"03/13/2017","3,530.00","3,292.10","3,530.00","3,281.55","","7.23%"
"03/12/2017","3,292.10","3,292.10","3,292.10","3,292.10","","-5.26%"
"03/10/2017","3,475.00","3,312.10","3,475.00","340.00","","4.92%"
"03/09/2017","3,312.10","3,325.80","3,480.00","3,312.10","","-0.41%"
